20221123T,1.827433,153.4693,149.7654,0.5064796
20221122T,0.4820194,151.7906,148.8641,0.3965935
20221121T,-1.759699,149.6706,145.8338,-0.4275438
20221118T,2.053569,153.6054,149.2527,0.4802999
20221117T,0.3393259,152.5524,148.7709,0.5782216
20221116T,-0.9024153,151.6356,147.766,0.3610872
20221115T,2.064651,153.4037,148.7572,0.8818108
20221114T,1.275369,152.2269,146.6753,0.817202
20221111T,5.626505,154.8255,147.3754,2.18517
20221110T,6.7885,150.8263,143.8309,2.138089
20221109T,-1.850123,136.2641,133.1687,-1.714563
20221108T,1.867125,141.409,137.878,-0.5574237
20221107T,-0.3105574,139.5293,136.09,-0.9825803
20221104T,-3.051594,140.3517,135.232,-1.627039
20221103T,-6.334111,139.5485,136.3642,-2.429005
20221102T,-3.599211,148.4772,142.7018,-1.481261
20221101T,-0.5285625,152.911,148.3401,-0.5365475
20221031T,2.140314,154.5056,150.3914,0.6900718
20221028T,4.240839,160.0289,153.9071,2.539253
20221027T,-3.481277,146.3836,142.5874,-1.079145
20221026T,-0.2150822,150.2862,146.9397,-0.010176
20221025T,3.245345,153.7012,150.4103,1.388276
20221024T,2.96244,151.4676,147.6164,1.346872
20221021T,1.316482,148.5383,145.2883,1.143519
20221020T,0.1198263,145.3803,142.0496,0.131496
20221019T,0.5273323,145.2147,141.8649,0.4117191
20221018T,2.296156,146.1757,141.8212,1.0265
20221017T,1.297169,144.0339,141.6491,0.608441
20221014T,0.05255032,142.7993,135.2235,-0.8531122
20221013T,0.7055435,143.5627,139.0815,0.8203818
20221012T,-0.1308498,139.8087,137.6563,-0.697837
20221011T,-0.768527,140.5421,137.8097,-0.7566106
20221010T,-1.76123,141.597,139.0869,-0.6238256
20221007T,-3.561353,140.3001,138.0723,-1.456786
20221006T,0.8603735,147.3435,144.2158,0.03157298
20221005T,1.587128,146.968,144.0773,0.2943993
20221004T,4.093269,148.1225,144.9116,0.8867101
20221003T,0.4039354,143.8148,140.4572,-0.1435379
20220930T,-3.621493,140.483,136.1421,-2.555784
20220929T,-4.26532,143.4477,138.3406,-2.415688
20220928T,-2.303418,149.1635,145.7403,-0.5868934
20220927T,0.7730703,154.3494,150.5519,0.06097293
20220926T,0.2686558,153.2991,149.4599,-0.4458448
20220923T,-2.304219,150.561,147.9465,-0.7126837
20220922T,-2.260135,153.5584,150.6609,-0.3466884
20220921T,0.2833261,157.127,152.2071,-0.3911472
20220920T,3.085359,159.0577,154.1347,0.6959279
20220919T,1.39607,155.3769,151.7632,0.2529693
20220916T,-2.264652,150.4399,148.5811,-1.12927
20220915T,-1.859399,153.4895,150.4243,-0.8192236
20220914T,-2.582441,157.2363,153.8557,-0.3451004
20220913T,-3.578542,155.801,150.2805,-1.500724
20220912T,5.072551,165.9813,162.1341,1.783839
20220909T,1.964077,158.5655,156.084,0.3502793
20220908T,0.1527071,155.3275,152.5408,-0.5665228
20220907T,0.3142557,156.7479,154.5212,-0.07610629
20220906T,-1.165105,156.1609,153.2582,-0.9170764
20220902T,-0.2490969,158.8213,154.0701,-0.9159592
20220901T,-0.7430983,158.1581,156.0562,-0.5720196
20220831T,-1.190066,159.2765,156.1452,-1.293076
20220830T,-1.97785,160.8545,156.9072,-1.212344
20220829T,-4.495445,161.7453,159.1739,-1.26034
20220826T,-2.422406,166.7655,161.4517,-1.341256
20220825T,1.577188,170.8606,169.0806,0.3022864
20220824T,-0.2405529,168.024,166.244,-0.3868917
20220823T,-1.815771,168.2417,166.3166,-0.6716052
20220822T,-3.772136,167.7357,165.782,-1.1813
20220819T,-1.773665,172.3331,170.294,-0.411481
20220818T,0.01312351,174.8687,172.911,0.3083856
20220817T,1.089247,176.3394,173.4548,0.6603336
20220816T,0.7042494,173.7147,171.6697,0.405691
20220815T,1.942892,173.9779,171.7589,0.9638108
20220812T,1.906264,173.3733,171.0883,1.146505
20220811T,1.486832,170.2681,167.5071,0.4201204
20220810T,2.551174,170.9247,168.5881,1.230258
20220809T,-0.4964447,165.7212,163.4362,0.09888636
20220808T,0.7092695,167.2472,163.7081,0.198323
20220805T,0.390089,165.6664,163.5008,0.2706165
20220804T,1.855323,167.4252,163.7548,0.8603033
20220803T,1.927425,167.7356,164.2977,1.697693
20220802T,-1.229108,161.26,158.9739,0.1065316
20220801T,1.619867,163.351,160.3425,0.7581531
20220729T,4.680675,165.8534,161.6581,1.786602
20220728T,1.618134,158.3995,154.9289,0.7499493
20220727T,2.141847,158.5256,155.1861,1.188058
20220726T,-1.539374,152.3107,150.1707,-0.2597204
20220725T,-0.747592,154.192,151.8675,-0.04688873
20220722T,1.030532,156.002,152.6594,0.4120898
20220721T,2.527388,156.3752,153.4248,1.100728
20220720T,2.469026,154.6309,151.1841,1.22419
